storm_id,storm_name,datetime,year,month,day,hour,minute,record_id,status,latitude,longitude,wind_kt,pressure_mb
AL012004,ALEX,2004-07-31 18:00:00,2004,7,31,18,0,,TD,30.3,-78.3,25,1010
AL012004,ALEX,2004-08-01 00:00:00,2004,8,1,0,0,,TD,31.0,-78.8,25,1009
AL012004,ALEX,2004-08-01 06:00:00,2004,8,1,6,0,,TD,31.5,-79.0,25,1009
AL012004,ALEX,2004-08-01 12:00:00,2004,8,1,12,0,,TD,31.6,-79.1,30,1009
AL012004,ALEX,2004-08-01 18:00:00,2004,8,1,18,0,,TS,31.6,-79.2,35,1009
AL012004,ALEX,2004-08-02 00:00:00,2004,8,2,0,0,,TS,31.5,-79.3,35,1007
AL012004,ALEX,2004-08-02 06:00:00,2004,8,2,6,0,,TS,31.4,-79.4,40,1005
AL012004,ALEX,2004-08-02 12:00:00,2004,8,2,12,0,,TS,31.3,-79.0,50,992
AL012004,ALEX,2004-08-02 18:00:00,2004,8,2,18,0,,TS,31.8,-78.7,50,993
AL012004,ALEX,2004-08-03 00:00:00,2004,8,3,0,0,,TS,32.4,-78.2,60,987
AL012004,ALEX,2004-08-03 06:00:00,2004,8,3,6,0,,HU,33.0,-77.4,70,983
AL012004,ALEX,2004-08-03 12:00:00,2004,8,3,12,0,,HU,34.2,-76.4,85,974
AL012004,ALEX,2004-08-03 18:00:00,2004,8,3,18,0,,HU,35.3,-75.2,85,972
AL012004,ALEX,2004-08-04 00:00:00,2004,8,4,0,0,,HU,36.0,-73.7,80,974
AL012004,ALEX,2004-08-04 06:00:00,2004,8,4,6,0,,HU,36.8,-72.1,80,973
AL012004,ALEX,2004-08-04 12:00:00,2004,8,4,12,0,,HU,37.3,-70.2,85,973
AL012004,ALEX,2004-08-04 18:00:00,2004,8,4,18,0,,HU,37.8,-68.3,95,965
AL012004,ALEX,2004-08-05 00:00:00,2004,8,5,0,0,,HU,38.5,-66.0,105,957
AL012004,ALEX,2004-08-05 06:00:00,2004,8,5,6,0,,HU,39.5,-63.1,105,957
AL012004,ALEX,2004-08-05 12:00:00,2004,8,5,12,0,,HU,40.8,-59.6,100,962
AL012004,ALEX,2004-08-05 18:00:00,2004,8,5,18,0,,HU,42.7,-55.0,90,970
AL012004,ALEX,2004-08-06 00:00:00,2004,8,6,0,0,,HU,44.5,-49.3,75,978
AL012004,ALEX,2004-08-06 06:00:00,2004,8,6,6,0,,HU,46.1,-44.2,65,984
AL012004,ALEX,2004-08-06 12:00:00,2004,8,6,12,0,,TS,47.0,-37.5,50,987
AL012004,ALEX,2004-08-06 18:00:00,2004,8,6,18,0,,EX,47.4,-32.7,30,992
AL022004,BONNIE,2004-08-03 12:00:00,2004,8,3,12,0,,TD,12.9,-53.6,25,1010
AL022004,BONNIE,2004-08-03 18:00:00,2004,8,3,18,0,,TD,13.2,-55.4,25,1010
AL022004,BONNIE,2004-08-04 00:00:00,2004,8,4,0,0,,TD,13.5,-57.4,30,1010
AL022004,BONNIE,2004-08-04 06:00:00,2004,8,4,6,0,,TD,13.6,-59.5,30,1010
AL022004,BONNIE,2004-08-04 12:00:00,2004,8,4,12,0,,TD,13.6,-61.6,30,1010
AL022004,BONNIE,2004-08-04 18:00:00,2004,8,4,18,0,,WV,13.7,-63.7,30,1010
AL022004,BONNIE,2004-08-05 00:00:00,2004,8,5,0,0,,WV,14.0,-65.7,25,1010
AL022004,BONNIE,2004-08-05 06:00:00,2004,8,5,6,0,,WV,14.9,-67.7,25,1010
AL022004,BONNIE,2004-08-05 12:00:00,2004,8,5,12,0,,WV,16.0,-69.7,25,1011
AL022004,BONNIE,2004-08-05 18:00:00,2004,8,5,18,0,,WV,16.5,-71.5,25,1011
AL022004,BONNIE,2004-08-06 00:00:00,2004,8,6,0,0,,WV,17.0,-73.0,25,1011
AL022004,BONNIE,2004-08-06 06:00:00,2004,8,6,6,0,,WV,17.1,-74.6,25,1011
AL022004,BONNIE,2004-08-06 12:00:00,2004,8,6,12,0,,WV,17.2,-76.2,25,1011
AL022004,BONNIE,2004-08-06 18:00:00,2004,8,6,18,0,,WV,17.0,-77.2,25,1011
AL022004,BONNIE,2004-08-07 00:00:00,2004,8,7,0,0,,WV,17.1,-78.2,25,1011
AL022004,BONNIE,2004-08-07 06:00:00,2004,8,7,6,0,,WV,17.4,-79.2,20,1013
AL022004,BONNIE,2004-08-07 12:00:00,2004,8,7,12,0,,WV,17.8,-80.2,20,1013
AL022004,BONNIE,2004-08-07 18:00:00,2004,8,7,18,0,,WV,18.4,-81.1,20,1013
AL022004,BONNIE,2004-08-08 00:00:00,2004,8,8,0,0,,WV,19.0,-81.9,20,1012
AL022004,BONNIE,2004-08-08 06:00:00,2004,8,8,6,0,,WV,19.7,-82.7,25,1010
AL022004,BONNIE,2004-08-08 12:00:00,2004,8,8,12,0,,TD,20.3,-83.5,25,1009
AL022004,BONNIE,2004-08-08 18:00:00,2004,8,8,18,0,,TD,20.9,-84.3,25,1008
